seed,target_deterministic_share,lexical_variation,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,bootstrap_resamples,bootstrap_alpha,delta
31006,0.5,False,0.009122807017543866,0.002105263157894721,0.01614035087719301,tie,2000,0.05,0.02
31007,0.5,False,0.0027045300878971723,-0.0020283975659228792,0.007437457741717446,tie,2000,0.05,0.02
31008,0.5,False,0.0071428571428571175,0.0033333333333332993,0.011428571428571455,tie,2000,0.05,0.02
31009,0.5,False,0.014215080346106301,0.008034610630408001,0.020395550061804713,tie,2000,0.05,0.02
31010,0.5,False,0.004833512352309333,0.0,0.009667024704618665,tie,2000,0.05,0.02
31011,0.5,False,0.005769230769230749,0.0028846153846153744,0.009134615384615352,tie,2000,0.05,0.02
31012,0.5,False,0.004259850905218299,0.0010649627263045192,0.007987220447284393,tie,2000,0.05,0.02
31013,0.5,False,0.008583690987124415,0.0028612303290415086,0.014306151645207432,tie,2000,0.05,0.02
31014,0.5,False,0.00948577134298556,0.005491762356465313,0.013979031452820756,tie,2000,0.05,0.02
31015,0.5,False,0.0055427251732101945,0.0027713625866050418,0.00877598152424941,tie,2000,0.05,0.02
31016,0.5,False,0.0015625000000000222,-0.0015625000000000222,0.004687499999999956,tie,2000,0.05,0.02
31017,0.5,False,-0.0012307692307691465,-0.005538461538461603,0.002461538461538515,tie,2000,0.05,0.02
31018,0.5,False,0.005641025641025643,0.002564102564102555,0.009743589743589687,tie,2000,0.05,0.02
31019,0.5,False,0.0037993920972644313,-0.0007598784194529085,0.00911854103343468,tie,2000,0.05,0.02
31020,0.5,False,0.008895478131949575,0.004447739065974732,0.014084507042253502,tie,2000,0.05,0.02
31001,0.5,True,-0.152744630071599,-0.1706443914081146,-0.13424821002386633,retrieval,2000,0.05,0.02
31002,0.5,True,-0.13095994914176734,-0.14812460267005723,-0.11315956770502222,retrieval,2000,0.05,0.02
31003,0.5,True,-0.15929705215419498,-0.17743764172335597,-0.14172335600907027,retrieval,2000,0.05,0.02
31004,0.5,True,-0.16195569136745613,-0.18411000763941932,-0.14132925897631776,retrieval,2000,0.05,0.02
31005,0.5,True,-0.13728872024836158,-0.1510865815798551,-0.12521559158330453,retrieval,2000,0.05,0.02
31006,0.5,True,-0.16140350877192977,-0.18175438596491234,-0.14105263157894743,retrieval,2000,0.05,0.02
31007,0.5,True,-0.14198782961460443,-0.16159567275185938,-0.1223799864773496,retrieval,2000,0.05,0.02
31008,0.5,True,-0.16476190476190478,-0.1819047619047619,-0.14809523809523806,retrieval,2000,0.05,0.02
31009,0.5,True,-0.12360939431396789,-0.14153275648949315,-0.10568603213844252,retrieval,2000,0.05,0.02
31010,0.5,True,-0.16863587540279268,-0.1874328678839956,-0.15091299677765846,retrieval,2000,0.05,0.02
31011,0.5,True,-0.15576923076923077,-0.17163461538461544,-0.1399038461538462,retrieval,2000,0.05,0.02
31012,0.5,True,-0.16293929712460065,-0.18051118210862616,-0.14536741214057514,retrieval,2000,0.05,0.02
31013,0.5,True,-0.1688125894134478,-0.19027181688125894,-0.148068669527897,retrieval,2000,0.05,0.02
31014,0.5,True,-0.16924613080379436,-0.1867199201198202,-0.15227159261108336,retrieval,2000,0.05,0.02
